timestamp,campaign_name,campaign_kind,case_label,git_commit,build_name,compiler,compiler_version,cmake_build_type,cxx_flags,node_name,job_id,threads,omp_places,omp_proc_bind,domain_size,end_time,step_size,preconditioner,output_disabled,repetition,wall_time_sec,user_time_sec,sys_time_sec,max_rss_kb,exit_code,stdout_path,stderr_path,time_path,measurements_dir,database_dir,command
2026-06-22T22:01:59.208313+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,1,cores,spread,96,10,0.4,dic,True,1,135.82,133.98,1.45,707368,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0001_d96_e10_t1_bind-spread_r01/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0001_d96_e10_t1_bind-spread_r01/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0001_d96_e10_t1_bind-spread_r01/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:04:16.246823+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,1,cores,spread,96,10,0.4,dic,True,2,137.03,135.21,1.43,706040,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0002_d96_e10_t1_bind-spread_r02/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0002_d96_e10_t1_bind-spread_r02/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0002_d96_e10_t1_bind-spread_r02/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:06:32.080720+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,1,cores,spread,96,10,0.4,dic,True,3,135.82,134.00,1.43,707656,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0003_d96_e10_t1_bind-spread_r03/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0003_d96_e10_t1_bind-spread_r03/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0003_d96_e10_t1_bind-spread_r03/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:08:36.964160+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,2,cores,spread,96,10,0.4,dic,True,1,124.87,159.34,1.54,707080,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0004_d96_e10_t2_bind-spread_r01/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0004_d96_e10_t2_bind-spread_r01/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0004_d96_e10_t2_bind-spread_r01/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:10:40.531331+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,2,cores,spread,96,10,0.4,dic,True,2,123.56,156.81,1.58,706620,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0005_d96_e10_t2_bind-spread_r02/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0005_d96_e10_t2_bind-spread_r02/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0005_d96_e10_t2_bind-spread_r02/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:12:45.789520+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,2,cores,spread,96,10,0.4,dic,True,3,125.25,159.48,1.58,706224,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0006_d96_e10_t2_bind-spread_r03/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0006_d96_e10_t2_bind-spread_r03/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0006_d96_e10_t2_bind-spread_r03/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:14:39.491962+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,4,cores,spread,96,10,0.4,dic,True,1,113.69,188.31,1.57,706704,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0007_d96_e10_t4_bind-spread_r01/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0007_d96_e10_t4_bind-spread_r01/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0007_d96_e10_t4_bind-spread_r01/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:16:33.060233+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,4,cores,spread,96,10,0.4,dic,True,2,113.56,187.40,1.60,706608,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0008_d96_e10_t4_bind-spread_r02/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0008_d96_e10_t4_bind-spread_r02/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0008_d96_e10_t4_bind-spread_r02/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:18:26.414320+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,4,cores,spread,96,10,0.4,dic,True,3,113.34,187.15,1.62,705536,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0009_d96_e10_t4_bind-spread_r03/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0009_d96_e10_t4_bind-spread_r03/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0009_d96_e10_t4_bind-spread_r03/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
2026-06-22T22:20:16.004259+00:00,scaling,benchmark,,bfccf9c8168280b815158733c217ab1cb1cb4cbe,baseline-build,c++,c++ (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5),RelWithDebInfo,-O2 -g -DNDEBUG,mpsd0294,52750202,8,cores,spread,96,10,0.4,dic,True,1,109.58,252.24,1.71,705420,0,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0010_d96_e10_t8_bind-spread_r01/stdout.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0010_d96_e10_t8_bind-spread_r01/stderr.log,/work/scratch/kurse/kurs00102/aa51gony/minicfd/scaling/2026-06-22T21-59-43.314900+00-00/runs/run_0010_d96_e10_t8_bind-spread_r01/time.txt,,,/work/home/kurse/kurs00102/aa51gony/minicfd/build/baseline-build/minicfd -d 96 -e 10 -s 0.4 -p dic -l off --disable-output
